Region,Year,Chinook,Sockeye,Coho,Pink,Chum,All,notesRegCode
SSE,1962,73,346,642,11007,971,13040,
SSE,1963,84,299,386,5145,637,6551,
SSE,1964,118,466,722,11259,1193,13758,
SSE,1965,102,485,593,5710,289,7180,
SSE,1966,113,445,598,15650,706,17512,
SSE,1967,108,580,169,642,290,1788,
SSE,1968,110,309,658,15201,1263,17541,
SSE,1969,95,248,120,1199,69,1732,
SSE,1970,112,185,281,5371,635,6584,
SSE,1971,125,237,428,6259,703,7752,
SSE,1972,142,463,821,9153,1030,11608,
SSE,1973,113,422,349,4559,792,6234,
SSE,1974,152,346,640,4221,685,6044,
SSE,1975,144,115,271,3333,374,4236,
SSE,1976,104,256,295,5162,509,6327,
SSE,1977,61,650,299,11298,425,12733,
SSE,1978,96,455,697,18425,649,20322,
SSE,1979,127,552,547,6990,330,8546,
SSE,1980,84,739,529,12924,833,15110,
SSE,1981,88,713,607,13525,343,15276,
SSE,1982,106,839,800,12956,814,15514,
SSE,1983,93,935,811,31462,512,33813,
SSE,1984,68,638,687,19677,1823,22893,
SSE,1985,74,1129,984,30708,1394,34289,
SSE,1986,70,904,1568,45019,1845,49407,
SSE,1987,66,540,663,4631,1184,7084,
SSE,1988,78,888,349,9055,2078,12449,
SSE,1989,84,1131,815,45763,1256,49049,
SSE,1990,125,1276,1259,26683,899,30242,
SSE,1991,120,1328,1307,43497,1549,47801,
SSE,1992,88,1797,1302,19010,2176,24373,
SSE,1993,98,2313,1331,39219,2938,45898,
SSE,1994,56,1704,1735,21059,3441,27996,
SSE,1995,32,1353,1093,41315,4582,48376,
SSE,1996,24,2110,1173,53676,5605,62589,
SSE,1997,38,2012,540,15298,5348,23235,
NSE,1883,0,108,0,0,0,108,
NSE,1884,0,143,0,0,0,143,
NSE,1885,0,26,0,0,0,26,
NSE,1886,0,113,0,0,0,113,
NSE,1887,0,143,0,0,0,143,
NSE,1888,0,212,0,0,0,212,
NSE,1889,0,557,0,0,0,557,
NSE,1890,0,636,2,0,0,639,
NSE,1891,0,670,0,0,0,670,
NSE,1892,0,578,5,0,0,583,
NSE,1893,0,428,0,0,0,428,
NSE,1894,7,349,11,0,0,367,
NSE,1895,9,337,11,0,0,358,
NSE,1896,11,469,9,0,0,489,
NSE,1897,15,338,12,0,0,365,
NSE,1898,0,337,37,0,0,375,
NSE,1899,13,485,4,0,0,501,
NSE,1900,11,1024,38,68,0,1140,
NSE,1901,9,711,66,1120,0,1906,
NSE,1902,5,1185,107,1233,0,2530,
NSE,1903,6,1278,249,951,0,2484,
NSE,1904,33,2072,136,1330,187,3759,
NSE,1905,46,1335,162,858,869,3270,
NSE,1906,27,1330,388,2540,869,5153,
NSE,1907,61,1056,221,3781,917,6037,
NSE,1908,32,1365,202,5458,1187,8245,
NSE,1909,38,1585,137,2560,450,4770,
NSE,1910,37,1541,238,2446,873,5135,
NSE,1911,62,1313,365,4970,1575,8285,
NSE,1912,68,1567,449,4726,2632,9441,
NSE,1913,65,1254,283,6622,1044,9268,
NSE,1914,71,2128,566,3924,1595,8284,
NSE,1915,94,1538,299,9863,1102,12897,
NSE,1916,135,1274,830,9809,2059,14107,
NSE,1917,176,1454,626,22219,2774,27249,
NSE,1918,173,1486,701,15781,6436,24576,
NSE,1919,246,1480,799,6999,4937,14461,
NSE,1920,149,1221,535,7113,3880,12898,
NSE,1921,223,631,456,1775,1102,4187,
NSE,1922,124,810,442,5064,1362,7802,
NSE,1923,478,972,456,9059,1301,12266,
NSE,1924,479,1014,475,9232,2735,13935,
NSE,1925,251,934,448,4660,3563,9857,
NSE,1926,197,978,400,12386,3189,17149,
NSE,1927,295,625,599,5471,1572,8563,
NSE,1928,239,897,1252,17990,2041,22419,Includes Yakutat catches
NSE,1929,379,1278,519,8849,1595,12619,Includes Yakutat catches
NSE,1930,307,1494,630,22183,1742,26355,
NSE,1931,163,661,430,13676,1180,16110,
NSE,1932,312,1026,906,7822,2870,12935,Includes Yakutat catches
NSE,1933,73,441,398,10420,2895,14227,
NSE,1934,121,431,643,15016,2734,18944,
NSE,1935,597,751,416,7178,2165,11107,
NSE,1936,278,940,499,13150,3878,18745,
NSE,1937,263,903,356,14051,2509,18083,
NSE,1938,265,1089,640,9953,1740,13686,
NSE,1939,493,1063,324,6228,1545,9653,
NSE,1940,370,485,502,10493,2432,14281,
NSE,1941,515,424,611,22978,1362,25890,
NSE,1942,180,455,612,13459,2285,16991,
NSE,1943,252,454,300,4845,3697,9547,
NSE,1944,173,716,275,9332,3833,14328,
NSE,1945,169,623,425,5345,1534,8097,
NSE,1946,261,370,411,3442,1608,6091,
NSE,1947,170,367,474,3336,1235,5582,
NSE,1948,205,199,716,1482,904,3505,
NSE,1949,222,191,872,9922,941,12148,
NSE,1950,192,306,621,1687,1438,4245,Includes Yakutat catches
NSE,1951,262,390,1925,5792,2311,10682,
NSE,1952,263,352,918,3431,1668,6631,
NSE,1953,293,659,488,1175,2060,4674,
NSE,1954,226,641,888,2406,3239,7400,
NSE,1955,218,336,670,4060,1116,6399,
NSE,1956,126,470,420,3635,1142,5793,
NSE,1957,173,420,666,2158,1909,5326,
NSE,1958,184,388,357,3315,1580,5824,
NSE,1959,207,336,530,4269,687,6030,
NSE,1960,185,329,306,1429,485,2735,
NSE,1961,127,449,360,8698,1504,11138,
NSE,1962,130,345,391,550,1007,2423,
NSE,1963,174,326,743,13921,831,15995,
NSE,1964,238,365,696,7282,738,9319,
NSE,1965,184,477,829,5165,1181,7836,
NSE,1966,193,423,561,4787,2564,8529,
NSE,1967,191,303,577,2437,1516,5025,
NSE,1968,218,441,762,9882,1367,12670,
NSE,1969,213,445,415,3609,476,5159,
NSE,1970,198,371,437,5244,1786,8036,
NSE,1971,197,257,442,3015,1237,5149,
NSE,1972,140,324,635,3237,1905,6241,
NSE,1973,226,455,443,1883,964,3972,
NSE,1974,187,259,558,664,984,2652,
NSE,1975,151,57,119,617,310,1254,
NSE,1976,130,207,476,144,514,1471,
NSE,1977,185,254,519,2528,302,3788,
NSE,1978,264,202,810,2782,213,4272,
NSE,1979,217,356,615,3832,550,5571,
NSE,1980,207,210,450,1432,789,3087,
NSE,1981,167,210,586,5376,483,6822,
NSE,1982,174,440,1071,11254,511,13450,
NSE,1983,194,469,1018,6058,645,8384,
NSE,1984,193,475,962,5008,2229,8866,
NSE,1985,174,497,1213,21221,1868,24973,
NSE,1986,183,388,1588,1144,1496,4798,
NSE,1987,212,577,672,5635,1523,8619,
NSE,1988,159,410,437,2031,1428,4464,
NSE,1989,184,664,1078,13636,696,16259,
NSE,1990,209,535,1325,5627,1313,9009,
NSE,1991,204,505,1668,18424,1784,22586,
NSE,1992,134,555,1914,15933,2752,21287,
NSE,1993,182,532,1825,18067,4936,25541,
NSE,1994,152,480,3220,36573,6951,47376,
NSE,1995,170,288,1716,6594,6572,15339,
NSE,1996,187,478,1492,10921,10459,23537,
NSE,1997,256,354,1034,13591,6441,21676,
YAK,1902,0,53,12,35,0,100,
YAK,1903,0,0,0,0,0,0,
YAK,1904,0,142,97,111,0,349,
YAK,1905,0,267,50,45,0,362,
YAK,1906,0,297,81,63,0,441,
YAK,1907,0,331,101,54,0,486,
YAK,1908,7,431,46,54,0,538,
YAK,1909,0,483,68,18,0,569,
YAK,1910,2,465,164,42,2,676,
YAK,1911,0,508,158,181,14,861,
YAK,1912,5,638,127,32,6,807,
YAK,1913,4,562,112,45,0,724,
YAK,1914,12,544,116,6,0,677,
YAK,1915,9,433,157,157,0,757,
YAK,1916,1,435,127,41,0,605,
YAK,1917,17,493,189,93,0,792,
YAK,1918,13,454,225,116,0,807,
YAK,1919,13,494,244,24,0,775,
YAK,1920,24,486,211,44,0,766,
YAK,1921,13,513,198,35,0,758,
YAK,1922,9,377,180,73,0,639,
YAK,1923,16,360,190,294,6,867,
YAK,1924,20,395,155,311,0,882,
YAK,1925,20,201,148,104,2,475,
YAK,1926,19,207,144,246,4,620,
YAK,1927,10,242,292,100,1,645,
YAK,1928,0,0,0,0,0,0,Yakutat catch included in No SE AK catch
YAK,1929,0,0,0,0,0,0,Yakutat catch included in No SE AK catch
YAK,1930,83,313,84,72,0,553,
YAK,1931,0,280,0,0,0,280,
YAK,1932,0,0,0,0,0,0,Yakutat catch included in No SE AK catch
YAK,1933,13,157,133,118,3,424,
YAK,1934,18,355,238,108,3,722,
YAK,1935,8,407,146,88,2,649,
YAK,1936,4,248,207,169,1,630,
YAK,1937,7,228,178,127,4,544,
YAK,1938,7,375,201,129,1,713,
YAK,1939,7,326,84,41,0,458,
YAK,1940,2,171,230,108,1,512,
YAK,1941,5,243,341,67,5,660,
YAK,1942,0,158,185,58,0,402,
YAK,1943,1,138,107,29,0,275,
YAK,1944,3,183,91,64,0,342,
YAK,1945,11,233,173,15,4,438,
YAK,1946,9,116,123,62,1,312,
YAK,1947,8,129,75,25,3,240,
YAK,1948,9,82,106,100,7,303,
YAK,1949,1,78,45,18,0,141,
YAK,1950,0,0,0,0,0,0,Yakutat catch included in No SE AK catch
YAK,1951,1,148,128,35,5,318,
YAK,1952,2,110,188,37,13,350,
YAK,1953,2,112,151,9,16,289,
YAK,1954,2,127,267,40,16,453,
YAK,1955,4,111,202,26,24,366,
YAK,1956,6,108,130,17,24,286,
YAK,1957,4,111,63,16,32,226,
YAK,1958,1,42,99,62,18,222,
YAK,1959,1,77,139,13,37,266,
YAK,1960,1,48,121,14,12,197,
YAK,1961,3,83,130,65,12,292,
YAK,1962,3,81,190,28,18,319,
YAK,1963,1,53,146,79,11,289,
YAK,1964,2,92,170,40,6,310,
YAK,1965,1,123,125,4,4,258,
YAK,1966,2,185,67,3,260,260,
YAK,1967,2,88,120,33,4,248,
YAK,1968,4,81,122,2,14,223,
YAK,1969,5,118,60,64,15,261,
YAK,1970,10,112,39,4,7,172,
YAK,1971,10,129,41,81,5,266,
YAK,1972,6,132,56,3,8,204,
YAK,1973,4,128,43,17,9,202,
YAK,1974,8,82,79,4,4,177,
YAK,1975,6,73,38,80,4,201,
YAK,1976,6,131,52,29,7,225,
YAK,1977,38,186,100,78,9,412,
YAK,1978,41,131,209,36,7,424,
YAK,1979,24,165,123,154,8,474,
YAK,1980,31,160,137,144,20,492,
YAK,1981,17,149,166,138,11,480,
YAK,1982,20,213,237,12,6,489,
YAK,1983,5,153,101,26,11,296,
YAK,1984,10,103,261,21,32,427,
YAK,1985,10,235,402,26,13,686,
YAK,1986,12,151,248,9,18,438,
YAK,1987,10,260,208,14,15,507,
YAK,1988,7,162,260,122,30,581,
YAK,1989,6,330,311,61,17,724,
YAK,1990,11,345,284,32,6,678,
YAK,1991,9,230,221,5,3,469,
YAK,1992,4,315,479,21,8,827,
YAK,1993,17,347,509,13,6,892,
YAK,1994,9,208,761,14,5,996,
YAK,1995,12,154,536,55,3,761,
YAK,1996,10,209,492,32,3,745,
YAK,1997,7,111,401,95,1,614,
GSE,1878,0,0,0,0,0,56,"Estimated from canned production, probably sockeye"
GSE,1879,0,0,0,0,0,70,"Estimated from canned production, probably sockeye"
GSE,1880,0,0,0,0,0,68,"Estimated from canned production, probably sockeye"
GSE,1881,0,0,0,0,0,92,"Estimated from canned production, probably sockeye"
GSE,1882,0,0,0,0,0,120,"Estimated from canned production, probably sockeye"
GSE,1883,0,0,0,0,0,0,
GSE,1884,0,0,0,0,0,0,
GSE,1885,0,0,0,0,0,0,
GSE,1886,0,0,0,0,0,0,
GSE,1887,0,0,0,0,0,0,
GSE,1888,0,0,0,0,0,0,
GSE,1889,0,0,0,0,0,0,
GSE,1890,0,0,0,0,0,0,
GSE,1891,0,0,0,0,0,0,
GSE,1892,0,0,0,0,0,0,
GSE,1893,6,127,256,0,0,389,
GSE,1894,6,117,331,0,0,454,
GSE,1895,0,148,590,0,0,738,
GSE,1896,4,114,40,634,3,795,
GSE,1897,6,0,95,1155,0,1255,
GSE,1898,8,192,123,889,28,1239,
GSE,1899,12,269,138,1367,7,1793,
GSE,1900,6,262,176,2214,31,2688,
GSE,1901,6,389,109,5356,0,5859,
GSE,1902,2,583,82,5286,0,5953,
GSE,1903,36,553,280,3908,0,4778,
GSE,1904,0,59,43,1356,69,1527,
GSE,1905,13,0,3,98,449,563,
GSE,1906,13,12,22,575,32,653,
GSE,1907,11,5,0,84,0,100,
GSE,1908,19,18,24,960,21,1042,
GSE,1909,42,0,0,135,0,177,
GSE,1910,70,2,9,106,0,187,
GSE,1911,5,44,24,1006,55,1134,
GSE,1912,181,6,6,113,19,325,
GSE,1913,94,10,26,530,32,691,
GSE,1914,124,3,7,205,67,405,
GSE,1915,60,73,82,2339,105,2659,
GSE,1916,80,76,130,1482,240,2008,
GSE,1917,19,18,22,1310,292,1661,
GSE,1918,103,93,64,3370,231,3860,
GSE,1919,200,49,71,519,211,1050,
GSE,1920,97,96,130,1120,390,1832,
GSE,1921,156,26,99,1294,135,1711,
GSE,1922,133,40,83,371,37,663,
GSE,1923,156,72,111,1740,168,2246,
GSE,1924,288,32,102,590,156,1168,
GSE,1925,223,26,154,822,168,1393,
GSE,1926,174,28,196,294,335,1025,
GSE,1927,254,4,152,10,26,447,
GSE,1928,0,0,0,0,0,0,
GSE,1929,0,0,0,0,0,0,
GSE,1930,0,0,0,0,0,0,
GSE,1931,0,0,0,0,0,0,
GSE,1932,0,0,0,0,0,0,
GSE,1933,0,0,0,0,0,0,
GSE,1934,0,0,0,0,0,0,
GSE,1935,0,0,0,0,0,0,
GSE,1936,0,0,0,0,0,0,
GSE,1937,0,0,0,0,0,0,
GSE,1938,0,0,0,0,0,0,
GSE,1939,0,0,0,0,0,0,
GSE,1940,0,0,0,0,0,0,
GSE,1941,0,0,0,0,0,0,
GSE,1942,0,0,0,0,0,0,
GSE,1943,0,0,0,0,0,0,
GSE,1944,0,0,0,0,0,0,
GSE,1945,0,0,0,0,0,0,
GSE,1946,0,0,0,0,0,0,
GSE,1947,0,0,0,0,0,0,
GSE,1948,0,0,0,0,0,0,
GSE,1949,0,0,0,0,0,0,
GSE,1950,0,0,0,0,0,0,
GSE,1951,0,0,0,0,0,0,
GSE,1952,0,0,0,0,0,0,
GSE,1953,0,0,0,0,0,0,
GSE,1954,0,12,0,2,1,15,
GSE,1955,I,66,0,0,1,68,
GSE,1956,0,0,0,0,0,0,
GSE,1957,2,40,2,0,44,88,
GSE,1958,2,36,0,2,20,60,
GSE,1959,6,113,2,0,45,165,
BER,1896,0,24,0,0,0,24,
BER,1897,0,39,0,0,0,39,
BER,1898,0,39,0,0,0,39,
BER,1899,0,27,0,0,0,27,
BER,1900,0,106,0,0,0,106,
BER,1901,0,0,0,0,0,0,
BER,1902,0,0,0,0,0,0,
BER,1903,0,0,0,0,0,0,
BER,1904,0,123,0,0,0,124,
BER,1905,0,0,0,0,0,0,
BER,1906,0,54,0,0,0,54,
BER,1907,0,0,0,0,0,0,
BER,1908,0,0,0,0,0,0,
BER,1909,0,0,0,0,0,0,
BER,1910,0,0,0,0,0,0,
BER,1911,0,0,0,0,0,0,
BER,1912,0,41,8,0,0,49,
BER,1913,0,39,0,0,0,39,
BER,1914,0,10,0,0,0,10,
BER,1915,0,106,0,0,0,106,
BER,1916,0,141,52,14,0,208,
BER,1917,0,163,78,0,0,242,
BER,1918,0,173,80,1,0,254,
BER,1919,0,140,77,0,0,217,
BER,1920,0,163,64,0,0,227,
BER,1921,0,121,0,0,0,121,
BER,1922,0,131,0,0,0,131,
BER,1923,0,192,25,0,0,217,
BER,1924,0,87,80,0,0,167,
BER,1925,0,53,57,0,0,110,
BER,1926,0,37,53,0,0,90,
BER,1927,0,0,0,0,0,0,No fishery
BER,1928,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1929,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1930,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1931,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1932,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1933,0,20,0,0,0,20,
BER,1934,0,78,0,0,0,78,
BER,1935,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1936,0,50,0,0,0,50,
BER,1937,0,29,0,0,0,29,
BER,1938,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1939,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1940,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1941,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1942,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1943,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1944,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1945,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1946,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1947,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1948,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1949,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1950,0,0,0,0,0,0,Bering River catches included in Copper River catches
BER,1951,0,4,46,0,0,50,
BER,1952,0,0,14,0,0,14,
BER,1953,0,9,0,0,0,9,
BER,1954,0,0,92,0,0,92,
BER,1955,0,34,70,0,0,104,
BER,1956,0,41,53,0,0,95,
BER,1957,0,29,27,0,0,57,
BER,1958,0,24,21,0,0,45,
BER,1959,0,27,59,0,0,86,
BER,1960,0,33,70,0,0,103,
BER,1961,1,60,51,0,0,112,
BER,1962,0,72,56,0,0,128,
BER,1963,0,23,89,0,0,112,
BER,1964,0,13,79,0,0,92,
BER,1965,0,11,52,0,0,63,
BER,1966,0,25,50,0,0,75,
BER,1967,0,12,46,0,0,58,
BER,1968,0,26,67,0,0,93,
BER,1969,0,38,4,0,0,42,
BER,1970,0,24,79,0,0,103,
BER,1971,0,37,88,0,0,125,
BER,1972,0,52,20,0,0,72,
BER,1973,0,15,65,0,0,81,
BER,1974,0,4,29,0,0,33,
BER,1975,0,22,24,0,0,46,
BER,1976,0,31,42,0,0,74,
BER,1977,0,14,47,0,0,62,
BER,1978,0,34,91,0,2,128,
BER,1979,0,139,114,7,23,283,
BER,1980,0,0,109,0,0,109,
BER,1981,0,56,83,10,8,157,
BER,1982,0,130,145,0,0,275,
BER,1983,1,180,118,1,5,305,
BER,1984,0,99,212,1,23,335,
BER,1985,0,27,419,0,10,456,
BER,1986,0,19,115,0,0,135,
BER,1987,0,17,16,0,0,33,
BER,1988,0,7,87,0,0,94,
BER,1989,0,9,27,0,0,36,
BER,1990,0,8,43,0,0,51,
BER,1991,0,19,111,0,0,130,
BER,1992,0,20,126,0,0,145,
BER,1993,0,34,116,0,0,150,
BER,1994,0,28,259,0,0,287,
BER,1995,0,22,282,0,0,304,
BER,1996,0,38,94,0,0,132,
BER,1997,0,10,0,0,0,10,
COP,1904,5,502,0,0,0,507,
COP,1905,20,320,0,0,0,340,
COP,1906,2,265,0,0,0,268,
COP,1907,1,264,0,0,0,264,
COP,1908,0,466,0,0,0,466,
COP,1909,3,317,0,0,0,320,
COP,1910,1,222,18,0,0,241,
COP,1911,1,408,34,0,0,443,
COP,1912,6,456,36,0,0,499,
COP,1913,2,405,0,0,0,407,
COP,1914,3,571,42,0,0,616,
COP,1915,7,819,12,16,0,854,
COP,1916,14,770,118,32,0,934,
COP,1917,14,920,126,9,0,1069,
COP,1918,20,1492,74,5,1,1592,
COP,1919,13,1329,53,0,0,1395,
COP,1920,23,855,74,0,0,952,
COP,1921,11,570,0,0,0,582,
COP,1922,10,506,0,0,0,516,
COP,1923,10,626,0,0,0,637,
COP,1924,16,791,42,0,0,849,
COP,1925,20,161,153,0,0,334,
COP,1926,21,211,178,0,0,411,
COP,1927,42,341,410,0,0,794,
COP,1928,45,532,304,0,0,881,Includes Bering River catches; estimated from canned
COP,1929,47,968,184,0,0,1199,Includes Bering River catches; estimated from canned
COP,1930,25,830,598,0,0,1452,Includes Bering River catches; estimated from canned
COP,1931,35,760,92,0,0,887,Includes Bering River catches
COP,1932,29,830,0,0,0,859,Includes Bering River catches
COP,1933,19,629,96,0,0,745,Coho and pink catch estimated from canned production
COP,1934,13,914,0,3,0,930,Coho and pink catch estimated from canned production
COP,1935,3,112,80,0,0,194,Includes Bering River; coho and pink estimated fro canned
COP,1936,11,863,0,0,0,874,Pink catch estimated from canned
COP,1937,14,1024,46,2,0,1086,Includes Bering River; coho pink and chum estimated from canned
COP,1938,11,768,0,2,0,782,Includes Bering River; pink estimated from canned
COP,1939,9,634,7,3,0,653,Includes Bering River; pink estimated from canned
COP,1940,5,436,229,0,0,670,Includes Bering River catches
COP,1941,12,444,566,11,0,1034,Includes Bering River; pink and chum estimated from canned
COP,1942,25,562,710,2,0,1299,Includes Bering River; coho pink and chum estimated from canned
COP,1943,20,700,186,1,0,907,Includes Bering River; coho pink and chum estimated from canned
COP,1944,10,770,294,0,0,1074,Includes Bering River; coho pink and chum estimated from canned
COP,1945,22,824,324,0,0,1170,Includes Bering River; coho pink and chum estimated from canned
COP,1946,24,550,284,0,0,858,Includes Bering River catches
COP,1947,15,354,279,0,0,648,Includes Bering River catches
COP,1948,6,173,267,0,0,445,Includes Bering River catches
COP,1949,9,442,173,0,0,624,Includes Bering River catches
COP,1950,18,800,146,0,0,965,Includes Bering River; pink and chum estimated from canned
COP,1951,17,452,154,0,0,624,
COP,1952,29,1136,164,6,1,1337,
COP,1953,12,564,30,0,0,606,
COP,1954,16,1100,158,0,0,1274,
COP,1955,20,637,158,0,0,816,
COP,1956,12,541,109,1,0,663,
COP,1957,8,542,59,2,1,612,
COP,1958,7,307,82,9,0,405,
COP,1959,10,300,132,1,0,443,
COP,1960,9,361,138,0,0,508,
COP,1961,8,528,134,2,0,672,
COP,1962,15,678,175,2,1,869,
COP,1963,11,375,203,1,0,590,
COP,1964,13,700,243,1,0,956,
COP,1965,15,818,71,1,0,906,
COP,1966,11,1006,116,1,0,1134,
COP,1967,10,508,161,1,0,680,
COP,1968,10,573,231,4,0,819,
COP,1969,14,697,77,1,0,789,
COP,1970,19,1115,162,1,1,1298,
COP,1971,16,617,209,2,5,849,
COP,1972,22,727,103,2,1,856,
COP,1973,20,333,132,9,10,504,
COP,1974,19,607,47,10,1,683,
COP,1975,20,335,54,0,1,410,
COP,1976,31,865,112,3,0,1012,
COP,1977,22,619,131,23,0,796,
COP,1978,29,250,220,4,2,505,
COP,1979,18,81,195,1,0,294,
COP,1980,8,19,225,4,0,257,
COP,1981,20,478,310,24,2,834,
COP,1982,47,1178,455,34,3,1717,
COP,1983,53,627,237,8,2,926,
COP,1984,39,900,382,32,7,1361,
COP,1985,42,928,588,19,6,1583,
COP,1986,41,780,296,3,18,1137,
COP,1987,41,1181,112,27,14,1375,
COP,1988,31,577,316,3,11,937,
COP,1989,31,1028,195,26,6,1286,
COP,1990,22,846,247,2,8,1123,
COP,1991,35,1208,386,1,20,1649,
COP,1992,40,971,292,2,6,1310,
COP,1993,30,1398,281,10,13,1732,
COP,1994,48,1153,678,12,19,1910,
COP,1995,67,1272,543,20,56,1958,
COP,1996,58,2357,193,6,26,2640,
COP,1997,53,2986,19,8,2,3068,
PWS,1889,0,243,0,0,0,243,Includes Copper River catches
PWS,1890,5,411,0,0,0,417,Includes Copper River catches
PWS,1891,6,711,0,0,0,717,Includes Copper River catches
PWS,1892,0,0,0,0,0,0,No fishery
PWS,1893,9,793,72,0,0,873,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1894,8,710,17,0,0,735,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1895,10,508,143,0,0,661,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1896,1,715,32,308,0,1056,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1897,2,371,26,302,0,701,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1898,2,417,0,375,0,794,Includes Copper River catches
PWS,1899,5,527,0,213,0,745,Includes Copper River catches
PWS,1900,3,748,88,51,0,891,Includes Copper River catches; coho catch porbably mostly pinks
PWS,1901,7,781,0,314,0,1102,
PWS,1902,3,800,0,375,0,1178,Includes Copper River catches
PWS,1903,5,814,0,399,0,1218,Includes Copper River catches
PWS,1904,0,109,0,574,0,683,
PWS,1905,0,100,0,0,0,100,
PWS,1906,0,61,0,0,0,61,
PWS,1907,0,18,0,252,0,270,
PWS,1908,0,117,0,18,0,135,
PWS,1909,0,150,0,0,0,150,
PWS,1910,0,68,14,197,0,279,
PWS,1911,0,23,20,156,0,200,
